id,theoric angle,computed angle,computed qr's center x(px),computed qr's center y(px),real qr's center x (cm),real qr's center y (cm),computed qr's center x(cm),computed qr's center y(cm),distance from center (px),data,detected
5,90,85.9744,385,254,54,0,43.3582,-2.15564,66.4906,HTTP://CLIKBRIX.CO/T/2153,1
3,270,270,176,401,20,-18,11.2724,-21.1392,216.002,HTTP://CLIKBRIX.CO/T/2153,1
9,270,269.003,552,402,91,-37,79.6856,-30.157,282.963,HTTP://CLIKBRIX.CO/T/2153,1
8,90,86.6467,551,243,91,0,79.4276,-0.512376,231.019,HTTP://CLIKBRIX.CO/T/2153,1
9,90,86.7611,551,441,91,-37,79.4276,-37.387,306.206,HTTP://CLIKBRIX.CO/T/2153,1
2,90,87.7659,155,267,19,0,8.61907,-3.44939,167.194,HTTP://CLIKBRIX.CO/T/2153,1
8,180,-1,-1,-1,91,0,-1,-1,401.4,,0
7,0,-1,-1,-1,91,31,-1,-1,401.4,,0
3,135,132.335,171,390,20,-18,10.6338,-19.6148,211.426,HTTP://CLIKBRIX.CO/T/2153,1
7,270,267.055,542,84,91,31,77.1347,28.8102,271.33,HTTP://CLIKBRIX.CO/T/2153,1
1,45,44.7257,141,99,18.5,22,6.89895,18.1033,227.864,HTTP://CLIKBRIX.CO/T/2153,1
1,135,126.108,139,94,18.5,22,6.65557,18.7145,232.545,HTTP://CLIKBRIX.CO/T/2153,1
9,225,-1,-1,-1,91,-37,-1,-1,401.4,,0
9,135,131.159,539,424,91,-37,76.3808,-33.7711,286.037,HTTP://CLIKBRIX.CO/T/2153,1
4,270,267.861,385,83,54,28,43.3582,24.7423,169.924,HTTP://CLIKBRIX.CO/T/2153,1
5,315,314.286,391,259,54,0,44.4653,-2.9608,73.4983,HTTP://CLIKBRIX.CO/T/2153,1
4,90,85.8587,380,80,54,28,42.445,25.0973,170.88,HTTP://CLIKBRIX.CO/T/2153,1
3,315,314.073,175,402,20,-18,11.1444,-21.2545,217.414,HTTP://CLIKBRIX.CO/T/2153,1
5,45,41.8258,388,256,54,0,43.9108,-2.4777,69.857,HTTP://CLIKBRIX.CO/T/2153,1
2,225,224.929,165,268,19,0,9.87256,-3.60676,157.509,HTTP://CLIKBRIX.CO/T/2153,1
2,225,224.929,165,268,19,0,9.87256,-3.60676,157.509,HTTP://CLIKBRIX.CO/T/2153,1
4,315,315.432,384,87,54,28,43.1752,24.0908,165.846,HTTP://CLIKBRIX.CO/T/2153,1
